time	V(vpwrout)	V(vpztin)	I(Pwrout)	I(Pztin)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.906249984391395e-014	9.520737e-016	3.257412e-009	9.317362e-021	8.449521e-015
7.812499968782791e-014	1.913196e-015	8.686431e-009	1.905824e-020	1.957415e-014
1.562499993756558e-013	3.844728e-015	2.866522e-008	3.882234e-020	5.351261e-014
5.626953155009061e-012	1.389531e-013	3.471498e-005	1.389808e-018	-4.757628e-010
1.109765631064247e-011	2.743420e-013	1.194332e-004	2.743663e-018	1.522328e-010
1.656835946627587e-011	4.100114e-013	2.541834e-004	4.100388e-018	1.884040e-009
2.203906262190928e-011	5.459615e-013	4.389655e-004	5.459983e-018	4.719660e-009
2.750976577754268e-011	6.821921e-013	6.737796e-004	6.822447e-018	8.659091e-009
3.298046893317609e-011	8.187033e-013	9.586255e-004	8.187782e-018	1.370233e-008
3.845117208880948e-011	9.554950e-013	1.293503e-003	9.555986e-018	1.984939e-008
4.790729732028490e-011	1.194768e-012	2.007202e-003	1.194787e-017	3.768205e-008
5.963105980375861e-011	1.497191e-012	3.110409e-003	1.497197e-017	7.174534e-008
7.439923501146361e-011	1.892077e-012	4.842186e-003	1.892119e-017	1.379016e-007
9.270043120444430e-011	2.414776e-012	7.517369e-003	2.414832e-017	2.645769e-007
1.156143655713823e-010	3.149763e-012	1.169300e-002	3.149798e-017	5.098879e-007
1.440680960845993e-010	4.255844e-012	1.815679e-002	4.255858e-017	9.815011e-007
1.796306519218318e-010	6.105205e-012	2.822737e-002	6.105217e-017	1.894565e-006
2.238596177842202e-010	9.528559e-012	4.383978e-002	9.528532e-017	3.654718e-006
2.790785994476467e-010	1.651367e-011	6.813675e-002	1.651359e-016	7.062149e-006
3.478163988716020e-010	3.173867e-011	1.058382e-001	3.173850e-016	1.364186e-005
4.335805988796073e-010	6.649525e-011	1.644754e-001	6.649609e-016	2.637965e-005
5.404053200699446e-010	1.432276e-010	2.542143e-001	1.432301e-015	5.017809e-005
6.450553911672246e-010	2.694327e-010	3.599675e-001	2.694340e-015	8.364615e-005
7.468176518916942e-010	4.625105e-010	4.806923e-001	4.625109e-015	1.281429e-004
8.449750026153312e-010	7.561791e-010	6.162556e-001	7.561840e-015	1.862716e-004
