Freq.	V(vpwrout)	V(vpztin)	I(Pwrout)	I(Pztin)
1.00000000000000e+004	(-1.91533079043083e+001dB,-2.88820780122534e+001°)	(5.62767326449270e+001dB,6.01211982252860e+001°)	(-1.19153309181371e+002dB,-2.88820784145229e+001°)	(-9.74752761036458e+000dB,6.11473501078082e+001°)
1.02329299228075e+004	(-1.92496333026399e+001dB,-2.90307939765578e+001°)	(5.63802883868622e+001dB,5.99517317187215e+001°)	(-1.19249634340813e+002dB,-2.90307944744910e+001°)	(-9.64384418158883e+000dB,6.10013255411988e+001°)
1.04712854805090e+004	(-1.93469106909982e+001dB,-2.91674337314449e+001°)	(5.64828865482657e+001dB,5.97938030717238e+001°)	(-1.19346910734732e+002dB,-2.91674362097850e+001°)	(-9.54111231697567e+000dB,6.08673940652881e+001°)
1.07151930523761e+004	(-1.94450741348795e+001dB,-2.92917122551513e+001°)	(5.65845927990497e+001dB,5.96476860995643e+001°)	(-1.19445073641426e+002dB,-2.92917132581455e+001°)	(-9.43926606248354e+000dB,6.07458421268099e+001°)
1.09647819614318e+004	(-1.95440554749872e+001dB,-2.94033629850121e+001°)	(5.66854750214419e+001dB,5.95136358731962e+001°)	(-1.19544056273936e+002dB,-2.94033632670946e+001°)	(-9.33823723839539e+000dB,6.06369377249701e+001°)
1.12201845430196e+004	(-1.96437844818532e+001dB,-2.95021386612940e+001°)	(5.67856031547707e+001dB,5.93918878693535e+001°)	(-1.19643785931391e+002dB,-2.95021341775459e+001°)	(-9.23795559356560e+000dB,6.05409295616626e+001°)
1.14815362149688e+004	(-1.97441890192058e+001dB,-2.95878121107584e+001°)	(5.68850490314766e+001dB,5.92826571814341e+001°)	(-1.19744188997759e+002dB,-2.95878135246611e+001°)	(-9.13834896950287e+000dB,6.04580462654642e+001°)
1.17489755493953e+004	(-1.98451952138962e+001dB,-2.96601769587374e+001°)	(5.69838862065340e+001dB,5.91861378013577e+001°)	(-1.19845196142559e+002dB,-2.96601712695021e+001°)	(-9.03934346921759e+000dB,6.03884956749697e+001°)
1.20226443461741e+004	(-1.99467276331741e+001dB,-2.97190482744266e+001°)	(5.70821897794944e+001dB,5.91025019682788e+001°)	(-1.19946727784439e+002dB,-2.97190537834013e+001°)	(-8.94086363549249e+000dB,6.03324641989751e+001°)
1.23026877081238e+004	(-2.00487094669366e+001dB,-2.97642631397383e+001°)	(5.71800362115225e+001dB,5.90318995936977e+001°)	(-1.20048710118825e+002dB,-2.97642637741020e+001°)	(-8.84283263231334e+000dB,6.02901162453672e+001°)
1.25892541179417e+004	(-2.01510627156939e+001dB,-2.97956811454473e+001°)	(5.72775031366825e+001dB,5.89744577588581e+001°)	(-1.20151063219263e+002dB,-2.97956884500764e+001°)	(-8.74517243311857e+000dB,6.02615937259555e+001°)
1.28824955169313e+004	(-2.02537083827903e+001dB,-2.98131848108027e+001°)	(5.73746691689329e+001dB,5.89302802889342e+001°)	(-1.20253708201970e+002dB,-2.98131796294204e+001°)	(-8.64780401280424e+000dB,6.02470156385458e+001°)
1.31825673855641e+004	(-2.03565666696754e+001dB,-2.98166799220566e+001°)	(5.74716137060331e+001dB,5.88994474076142e+001°)	(-1.20356566380295e+002dB,-2.98166743329370e+001°)	(-8.55064754327472e+000dB,6.02464777288942e+001°)
1.34896288259165e+004	(-2.04595571747857e+001dB,-2.98060957960210e+001°)	(5.75684167298019e+001dB,5.88820154674169e+001°)	(-1.20459558918261e+002dB,-2.98060965307259e+001°)	(-8.45362259173010e+000dB,6.02600522250243e+001°)
1.38038426460288e+004	(-2.05625990941059e+001dB,-2.97813854607005e+001°)	(5.76651586046532e+001dB,5.88780167618714e+001°)	(-1.20562598751420e+002dB,-2.97813825895867e+001°)	(-8.35664832164141e+000dB,6.02877876637714e+001°)
1.41253754462275e+004	(-2.06656114228181e+001dB,-2.97425257549236e+001°)	(5.77619198750019e+001dB,5.88874594191031e+001°)	(-1.20665610241142e+002dB,-2.97425222116744e+001°)	(-8.25964369413829e+000dB,6.03297087851774e+001°)
1.44543977074593e+004	(-2.07685131579070e+001dB,-2.96895173482701e+001°)	(5.78587810616687e+001dB,5.89103273749409e+001°)	(-1.20768512818598e+002dB,-2.96895180252063e+001°)	(-8.16252767039724e+000dB,6.03858165161852e+001°)
1.47910838816821e+004	(-2.08712235005852e+001dB,-2.96223846799073e+001°)	(5.79558224584166e+001dB,5.89465804268432e+001°)	(-1.20871223339490e+002dB,-2.96223882933894e+001°)	(-8.06521941435330e+000dB,6.04560880343380e+001°)
1.51356124843621e+004	(-2.09736620571479e+001dB,-2.95411758143016e+001°)	(5.80531239300085e+001dB,5.89961543711964e+001°)	(-1.20973662056060e+002dB,-2.95411741046792e+001°)	(-7.96763849312947e+000dB,6.05404769082573e+001°)
