time	V(vpwrout)	I(Pwrout)
Step Information: Freq=500K  (Run: 1/9)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.906249984391395e-014	9.520737e-016	9.423242e-021
7.812499968782791e-014	1.913196e-015	1.912883e-020
1.562499993756558e-013	3.844728e-015	3.854000e-020
4.999999980020986e-012	1.236397e-013	1.236103e-018
9.999999960041972e-012	2.473707e-013	2.473618e-018
1.999999992008394e-011	4.950413e-013	4.950071e-018
3.001691349652261e-011	7.435443e-013	7.435237e-018
4.093452521217659e-011	1.015181e-012	1.015131e-017
5.078751174918823e-011	1.261627e-012	1.261578e-017
6.379759181167548e-011	1.590082e-012	1.590101e-017
7.896728726313359e-011	1.979833e-012	1.979960e-017
9.900092398062589e-011	2.511608e-012	2.511778e-017
1.229508880424880e-010	3.187224e-012	3.187317e-017
1.537855999100411e-010	4.155859e-012	4.155925e-017
1.912589649855932e-010	5.566856e-012	5.566914e-017
2.388801082216564e-010	7.932790e-012	7.932661e-017
2.973513346574582e-010	1.220357e-011	1.220326e-016
3.710806500758734e-010	2.091368e-011	2.091349e-016
4.621640042713532e-010	3.963929e-011	3.963930e-016
5.764898232329656e-010	8.123576e-011	8.123560e-016
7.024276713298687e-010	1.610557e-010	1.610550e-015
8.386016081432165e-010	3.023915e-010	3.023928e-015
9.616628684294890e-010	5.012581e-010	5.012611e-015
1.092441647657279e-009	8.315923e-010	8.315956e-015
1.281236318470515e-009	1.563802e-009	1.563803e-014
1.475829180724498e-009	2.750009e-009	2.750011e-014
1.727250185172766e-009	5.155826e-009	5.155844e-014
1.996072821281408e-009	9.213362e-009	9.213398e-014
2.328419707612323e-009	1.709751e-008	1.709759e-013
2.695278670850898e-009	3.080503e-008	3.080530e-013
3.137730440572533e-009	5.678500e-008	5.678573e-013
3.635688569651937e-009	1.027934e-007	1.027959e-012
4.226953916857881e-009	1.886319e-007	1.886355e-012
4.899561551728441e-009	3.422960e-007	3.422980e-012
5.692909783027004e-009	6.055337e-007	6.055345e-012
6.154020835661966e-009	8.107795e-007	8.107812e-012
6.481663862162563e-009	9.936480e-007	9.936462e-012
6.826819033242777e-009	1.221944e-006	1.221938e-011
7.197276526692259e-009	1.501484e-006	1.501483e-011
7.338597746249167e-009	1.622018e-006	1.622018e-011
7.461615773484720e-009	1.740307e-006	1.740308e-011
7.634605768575310e-009	1.922541e-006	1.922544e-011
7.762112984369724e-009	2.066960e-006	2.066968e-011
7.878558257453342e-009	2.206954e-006	2.206970e-011
8.014181983894499e-009	2.378956e-006	2.378969e-011
8.208033837084868e-009	2.642925e-006	2.642925e-011
8.549997330236629e-009	3.168579e-006	3.168573e-011
9.233924316540151e-009	4.422510e-006	4.422509e-011
1.007432639217493e-008	6.339160e-006	6.339160e-011
1.094407253558760e-008	8.791997e-006	8.791985e-011
1.148268740544266e-008	1.066045e-005	1.066042e-010
1.225461661876658e-008	1.390979e-005	1.390975e-010
1.307144195651111e-008	1.806714e-005	1.806710e-010
1.401195253043782e-008	2.390341e-005	2.390338e-010
1.493092990550337e-008	3.086620e-005	3.086617e-010
1.595544630200229e-008	4.034204e-005	4.034204e-010
1.703249767166609e-008	5.289879e-005	5.289880e-010
1.883532202072065e-008	8.188176e-005	8.188176e-010
2.203432124414176e-008	1.565376e-004	1.565376e-009
2.535444328969650e-008	2.706426e-004	2.706427e-009
2.846436167072881e-008	4.270971e-004	4.270972e-009
3.189485920919289e-008	6.600739e-004	6.600740e-009
3.385025184474102e-008	8.276469e-004	8.276470e-009
3.536794325767804e-008	9.836358e-004	9.836358e-009
3.687379463323670e-008	1.160747e-003	1.160747e-008
3.831947358129260e-008	1.354667e-003	1.354667e-008
4.031043844609106e-008	1.657660e-003	1.657660e-008
4.188618432881509e-008	1.930083e-003	1.930082e-008
4.372717451096728e-008	2.290251e-003	2.290250e-008
4.532020320465870e-008	2.639946e-003	2.639947e-008
4.706145602834652e-008	3.067626e-003	3.067625e-008
4.876096726325039e-008	3.545273e-003	3.545271e-008
5.215998973305813e-008	4.655999e-003	4.656000e-008
5.532038737238481e-008	5.884551e-003	5.884551e-008
5.922663737238481e-008	7.718676e-003	7.718673e-008
6.313288737238481e-008	9.919518e-003	9.919515e-008
6.703913737238482e-008	1.254715e-002	1.254715e-007
7.094538737238482e-008	1.564664e-002	1.564664e-007
7.485163737238482e-008	1.926282e-002	1.926283e-007
7.875788737238482e-008	2.343987e-002	2.343988e-007
8.266413737238483e-008	2.822093e-002	2.822094e-007
8.657038737238483e-008	3.364786e-002	3.364787e-007
9.047663737238483e-008	3.976111e-002	3.976111e-007
9.438288737238483e-008	4.659968e-002	4.659965e-007
9.828913737238484e-008	5.420111e-002	5.420109e-007
1.021953873723848e-007	6.260163e-002	6.260162e-007
1.061016373723848e-007	7.183628e-002	7.183628e-007
1.100078873723848e-007	8.193899e-002	8.193899e-007
1.139141373723848e-007	9.294282e-002	9.294280e-007
1.178203873723849e-007	1.048800e-001	1.048800e-006
1.217266373723849e-007	1.177823e-001	1.177823e-006
1.256328873723848e-007	1.316808e-001	1.316807e-006
1.295391373723848e-007	1.466061e-001	1.466061e-006
1.334453873723848e-007	1.625886e-001	1.625885e-006
1.373516373723848e-007	1.796569e-001	1.796569e-006
1.412578873723848e-007	1.978371e-001	1.978370e-006
1.451641373723848e-007	2.171500e-001	2.171501e-006
1.529766373723848e-007	2.592312e-001	2.592312e-006
1.607891373723847e-007	3.059583e-001	3.059582e-006
1.686016373723847e-007	3.573021e-001	3.573021e-006
1.764141373723847e-007	4.131504e-001	4.131503e-006
1.881328873723847e-007	5.049295e-001	5.049294e-006
1.998516373723846e-007	6.054429e-001	6.054429e-006
2.115703873723846e-007	7.134045e-001	7.134046e-006
2.193828873723846e-007	7.887500e-001	7.887499e-006
2.271953873723846e-007	8.661840e-001	8.661843e-006
2.311016373723845e-007	9.055080e-001	9.055082e-006
2.350078873723845e-007	9.451385e-001	9.451383e-006
2.389141373723845e-007	9.849989e-001	9.849986e-006
2.428203873723845e-007	1.025012e+000	1.025011e-005
2.467266373723845e-007	1.065097e+000	1.065097e-005
2.506328873723845e-007	1.105175e+000	1.105175e-005
2.545391373723845e-007	1.145163e+000	1.145163e-005
2.584453873723845e-007	1.184980e+000	1.184980e-005
2.623516373723845e-007	1.224542e+000	1.224542e-005
2.662578873723844e-007	1.263765e+000	1.263765e-005
2.701641373723844e-007	1.302567e+000	1.302567e-005
2.740703873723844e-007	1.340864e+000	1.340864e-005
2.779766373723844e-007	1.378572e+000	1.378572e-005
2.818828873723844e-007	1.415609e+000	1.415609e-005
2.896953873723844e-007	1.487341e+000	1.487341e-005
2.975078873723844e-007	1.555412e+000	1.555411e-005
3.053203873723843e-007	1.619191e+000	1.619192e-005
3.131328873723843e-007	1.678071e+000	1.678071e-005
3.209453873723843e-007	1.731473e+000	1.731473e-005
3.248516373723843e-007	1.755946e+000	1.755946e-005
3.287578873723843e-007	1.778847e+000	1.778848e-005
3.326641373723843e-007	1.800113e+000	1.800113e-005
3.365703873723843e-007	1.819683e+000	1.819683e-005
3.404766373723842e-007	1.837500e+000	1.837500e-005
3.443828873723842e-007	1.853508e+000	1.853508e-005
3.521953873723842e-007	1.879896e+000	1.879896e-005
3.561016373723842e-007	1.890179e+000	1.890179e-005
3.600078873723842e-007	1.898463e+000	1.898464e-005
3.639141373723842e-007	1.904709e+000	1.904710e-005
3.678203873723842e-007	1.908880e+000	1.908880e-005
3.717266373723842e-007	1.911404e+000	1.911403e-005
3.722149186223842e-007	1.911559e+000	1.911558e-005
3.731914811223842e-007	1.911679e+000	1.911681e-005
