time	V(vpwrout)	I(Pwrout)
Step Information: Lmatch=1n  (Run: 1/25)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765624452758720e-14	2.399180e-15	2.392901e-20
1.456237686372858e-13	3.582145e-15	3.578714e-20
8.171691061730665e-13	2.019522e-14	2.014527e-19
1.584649491928244e-12	3.923937e-14	3.924586e-19
3.119610263438600e-12	7.791248e-14	7.794115e-19
6.189531806459311e-12	1.626422e-13	1.626727e-18
1.232937489250073e-11	3.977907e-13	3.978450e-18
2.126449886079307e-11	1.048364e-12	1.048368e-17
3.184333569941330e-11	2.669724e-12	2.669596e-17
4.206180635570294e-11	6.208656e-12	6.209047e-17
5.715730959932952e-11	1.782198e-11	1.782340e-16
7.683243548150791e-11	5.129246e-11	5.129500e-16
1.031493343390937e-10	1.436185e-10	1.436209e-15
1.317174835861650e-10	3.316674e-10	3.316743e-15
1.608454970347019e-10	6.818756e-10	6.818899e-15
2.021778078880906e-10	1.548201e-09	1.548233e-14
2.507980995078486e-10	3.324525e-09	3.324589e-14
3.177947785557454e-10	7.558007e-09	7.557934e-14
4.013545050954187e-10	1.669502e-08	1.669479e-13
5.162336766542604e-10	3.831459e-08	3.831471e-13
6.670036771934309e-10	8.713520e-08	8.713609e-13
8.773980161733923e-10	2.042305e-07	2.042324e-12
1.166048381359196e-09	4.787259e-07	4.787168e-12
1.571763194023830e-09	1.088084e-06	1.088070e-11
1.906458896744119e-09	1.822606e-06	1.822616e-11
2.084434756396411e-09	2.368394e-06	2.368396e-11
2.194576282139932e-09	2.810083e-06	2.810073e-11
2.331033160645743e-09	3.464529e-06	3.464536e-11
2.424608518648689e-09	3.982527e-06	3.982527e-11
2.527802980293598e-09	4.635790e-06	4.635738e-11
2.643148786694852e-09	5.464906e-06	5.464840e-11
2.790302039590636e-09	6.703204e-06	6.703166e-11
3.042829146721339e-09	9.331184e-06	9.331139e-11
3.454701710152374e-09	1.526550e-05	1.526546e-10
4.278446837014442e-09	3.384266e-05	3.384266e-10
5.599516933980913e-09	8.063461e-05	8.063464e-10
6.816773064084258e-09	1.445910e-04	1.445912e-09
7.755439868224319e-09	2.141043e-04	2.141045e-09
8.872645831157031e-09	3.248928e-04	3.248926e-09
1.017012865699861e-08	4.971777e-04	4.971771e-09
1.204045475807424e-08	8.271790e-04	8.271784e-09
1.376420927776545e-08	1.224963e-03	1.224963e-08
1.550489564304777e-08	1.740916e-03	1.740916e-08
1.737438433113873e-08	2.432056e-03	2.432057e-08
1.930811706814647e-08	3.335265e-03	3.335267e-08
2.251247356395658e-08	5.220328e-03	5.220330e-08
2.561593484914820e-08	7.545896e-03	7.545898e-08
2.989189693173597e-08	1.162843e-02	1.162844e-07
3.451457540781540e-08	1.723744e-02	1.723744e-07
4.083875228241475e-08	2.704841e-02	2.704841e-07
4.873602885078595e-08	4.277679e-02	4.277678e-07
5.850165385078595e-08	6.767115e-02	6.767114e-07
6.826727885078595e-08	9.916233e-02	9.916232e-07
7.803290385078595e-08	1.383426e-01	1.383426e-06
8.779852885078595e-08	1.860524e-01	1.860524e-06
9.756415385078595e-08	2.430920e-01	2.430919e-06
1.073297788507859e-07	3.101824e-01	3.101823e-06
1.170954038507859e-07	3.879464e-01	3.879464e-06
1.268610288507859e-07	4.768152e-01	4.768151e-06
1.366266538507859e-07	5.766213e-01	5.766213e-06
1.463922788507859e-07	6.860071e-01	6.860072e-06
1.561579038507859e-07	8.024167e-01	8.024168e-06
1.659235288507859e-07	9.228289e-01	9.228289e-06
1.756891538507859e-07	1.044374e+00	1.044374e-05
1.854547788507859e-07	1.164446e+00	1.164446e-05
1.952204038507859e-07	1.280651e+00	1.280650e-05
2.049860288507859e-07	1.390775e+00	1.390774e-05
2.147516538507859e-07	1.492770e+00	1.492769e-05
2.245172788507859e-07	1.584746e+00	1.584746e-05
2.342829038507859e-07	1.664977e+00	1.664977e-05
2.440485288507859e-07	1.731902e+00	1.731902e-05
2.538141538507859e-07	1.784133e+00	1.784132e-05
2.635797788507860e-07	1.820456e+00	1.820456e-05
2.733454038507860e-07	1.842250e+00	1.842251e-05
2.778867303975485e-07	1.847160e+00	1.847162e-05
2.790443906550530e-07	1.847561e+00	1.847566e-05
2.793822129636302e-07	1.847582e+00	1.847587e-05
2.795766802662875e-07	1.847582e+00	1.847584e-05
2.798099565133403e-07	1.847579e+00	1.847566e-05
2.799447452932144e-07	1.847578e+00	1.847552e-05
2.801052633594782e-07	1.847576e+00	1.847554e-05
2.802794486051511e-07	1.847575e+00	1.847566e-05
2.809671173131698e-07	1.847568e+00	1.847569e-05
2.830029066132084e-07	1.847548e+00	1.847548e-05
2.843224797992612e-07	1.847535e+00	1.847537e-05
2.851496129681493e-07	1.847527e+00	1.847264e-05
2.851513597764993e-07	1.847527e+00	1.847300e-05
