time	V(vpwrout)	I(Pwrout)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765624452758720e-14	2.403316e-15	2.329373e-20
1.456238675430868e-13	3.589381e-15	3.508128e-20
2.415591135740860e-13	5.973883e-15	5.971582e-20
4.334296056360843e-13	1.078264e-14	1.098319e-19
8.171705897600810e-13	2.068062e-14	2.068172e-19
1.584652558008074e-12	4.256097e-14	4.205519e-19
3.119616494504061e-12	1.023440e-13	1.018134e-18
6.189544367496035e-12	3.472357e-13	3.470294e-18
1.232940011347998e-11	1.824376e-12	1.824396e-17
2.460911160544787e-11	1.255643e-11	1.255687e-16
4.916853458938366e-11	6.736826e-11	6.736431e-16
7.147816335925120e-11	1.763152e-10	1.763016e-15
9.758789641866531e-11	4.182276e-10	4.182156e-15
1.266043908306582e-10	8.975305e-10	8.975452e-15
1.694595153494054e-10	2.117061e-09	2.117058e-14
2.229914768384977e-10	4.749966e-09	4.750001e-14
2.988506441870060e-10	1.117486e-08	1.117505e-13
3.971313373676422e-10	2.554133e-08	2.554165e-13
5.345643321269845e-10	6.010660e-08	6.010710e-13
7.183874090661142e-10	1.397916e-07	1.397921e-12
9.766011167192010e-10	3.319023e-07	3.319020e-12
1.329132158194117e-09	7.884422e-07	7.884408e-12
1.843233494285695e-09	1.813578e-06	1.813592e-11
2.034333488591235e-09	2.387434e-06	2.387445e-11
2.169582929035451e-09	2.962246e-06	2.962264e-11
2.335600907376477e-09	3.833518e-06	3.833555e-11
2.446977342803843e-09	4.521778e-06	4.521778e-11
2.566976048829730e-09	5.380439e-06	5.380431e-11
2.698807670295513e-09	6.456596e-06	6.456623e-11
2.852062396109808e-09	7.910789e-06	7.910724e-11
3.087812095967326e-09	1.059884e-05	1.059863e-10
3.429680165892964e-09	1.560070e-05	1.560049e-10
4.016393214653553e-09	2.774662e-05	2.774647e-10
5.011265461214645e-09	5.923073e-05	5.923061e-10
6.381810561028789e-09	1.228585e-04	1.228583e-09
7.303573584671667e-09	1.839777e-04	1.839774e-09
8.449756554697827e-09	2.869460e-04	2.869458e-09
9.564823614580251e-09	4.202599e-04	4.202598e-09
1.124196787984774e-08	6.856562e-04	6.856564e-09
1.290415235644384e-08	1.031049e-03	1.031050e-08
1.476038014927669e-08	1.536841e-03	1.536841e-08
1.691475753015870e-08	2.286691e-03	2.286691e-08
1.895926967774565e-08	3.189749e-03	3.189749e-08
2.157340439174256e-08	4.654167e-03	4.654168e-08
2.483776073698857e-08	6.966250e-03	6.966248e-08
2.862569393791395e-08	1.037339e-02	1.037339e-07
3.326660592964980e-08	1.567328e-02	1.567328e-07
3.897076221426805e-08	2.397477e-02	2.397478e-07
4.650415998704351e-08	3.809585e-02	3.809585e-07
5.626978498704351e-08	6.158664e-02	6.158664e-07
6.603540998704351e-08	9.145696e-02	9.145698e-07
7.580103498704351e-08	1.288288e-01	1.288288e-06
8.556665998704350e-08	1.745429e-01	1.745429e-06
