time	V(vpwrout)	I(Pwrout)
Step Information: Freq=500K  (Run: 1/7)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.765624452758720e-014	2.403203e-015	2.453762e-020
1.588150643624724e-013	3.915345e-015	4.101051e-020
2.811327040322427e-013	6.954190e-015	7.256249e-020
5.257679833717834e-013	1.307283e-014	1.320019e-019
9.595140747873679e-013	2.415469e-014	2.411220e-019
1.827006257618537e-012	4.794141e-014	4.787148e-019
3.561990623280875e-012	1.075242e-013	1.075308e-018
7.031959354605550e-012	3.187763e-013	3.188373e-018
1.397189681725490e-011	1.458066e-012	1.458280e-017
2.785177174255360e-011	8.118724e-012	8.118861e-017
4.900846563263261e-011	3.375569e-011	3.375592e-016
7.397454343753412e-011	9.662236e-011	9.662204e-016
9.765870438857111e-011	2.038848e-010	2.038765e-015
1.224492834800921e-010	3.881039e-010	3.880869e-015
1.529519534198901e-010	7.433987e-010	7.433922e-015
1.923911330273119e-010	1.454129e-009	1.454114e-014
2.422538225923309e-010	2.846712e-009	2.846643e-014
3.064232098903634e-010	5.626061e-009	5.625954e-014
3.883035624827824e-010	1.112864e-008	1.112847e-013
4.945256969751863e-010	2.220297e-008	2.220282e-013
6.322740441495147e-010	4.449116e-008	4.449139e-013
8.132897359584818e-010	8.996921e-008	8.997188e-013
1.051433811267699e-009	1.829783e-007	1.829834e-012
1.365847710628491e-009	3.735415e-007	3.735427e-012
1.778389516374021e-009	7.422142e-007	7.422131e-012
2.173739312273603e-009	1.227658e-006	1.227649e-011
2.465571656199083e-009	1.693124e-006	1.693092e-011
2.605350423233737e-009	1.982302e-006	1.982258e-011
2.722564585860853e-009	2.287906e-006	2.287863e-011
2.821312995525904e-009	2.594565e-006	2.594548e-011
2.923990975944019e-009	2.961302e-006	2.961331e-011
3.020922851785460e-009	3.363389e-006	3.363443e-011
3.214786603468341e-009	4.332157e-006	4.332195e-011
3.509028268965615e-009	6.267222e-006	6.267198e-011
4.097511599960162e-009	1.192307e-005	1.192302e-010
5.037848772906993e-009	2.530943e-005	2.530946e-010
5.950420252452602e-009	4.457455e-005	4.457458e-010
7.049268632645444e-009	7.839196e-005	7.839194e-010
8.386519592869005e-009	1.363676e-004	1.363675e-009
9.824850369494258e-009	2.211609e-004	2.211608e-009
1.114733014082480e-008	3.240728e-004	3.240728e-009
1.257144614974256e-008	4.651608e-004	4.651609e-009
1.392546547980307e-008	6.323747e-004	6.323748e-009
1.551452990009049e-008	8.730543e-004	8.730541e-009
1.708913403953001e-008	1.158437e-003	1.158437e-008
1.841320712790304e-008	1.441546e-003	1.441546e-008
1.988532442991284e-008	1.804778e-003	1.804778e-008
2.119541147141276e-008	2.172585e-003	2.172585e-008
2.265604239903247e-008	2.639785e-003	2.639786e-008
2.453983146592310e-008	3.336072e-003	3.336073e-008
2.734323211556449e-008	4.546287e-003	4.546289e-008
3.019915817261689e-008	6.005292e-003	6.005292e-008
3.384079704038893e-008	8.211444e-003	8.211443e-008
3.777394416561302e-008	1.102918e-002	1.102918e-007
4.276997338725875e-008	1.525943e-002	1.525943e-007
4.864609086211322e-008	2.115655e-002	2.115655e-007
5.650989537813197e-008	3.059175e-002	3.059174e-007
6.627552037813197e-008	4.460753e-002	4.460753e-007
7.604114537813197e-008	6.136307e-002	6.136307e-007
8.580677037813197e-008	8.128117e-002	8.128087e-007
9.557239537813197e-008	1.047249e-001	1.047241e-006
1.053380203781320e-007	1.320848e-001	1.320839e-006
1.151036453781320e-007	1.637556e-001	1.637549e-006
1.248692703781320e-007	2.001101e-001	2.001096e-006
1.346348953781320e-007	2.413504e-001	2.413499e-006
1.444005203781320e-007	2.872038e-001	2.872034e-006
1.541661453781320e-007	3.368528e-001	3.368526e-006
1.639317703781320e-007	3.892930e-001	3.892929e-006
1.736973953781320e-007	4.436631e-001	4.436630e-006
1.834630203781319e-007	4.992784e-001	4.992783e-006
1.932286453781319e-007	5.555675e-001	5.555674e-006
2.029942703781319e-007	6.120361e-001	6.120360e-006
2.127598953781319e-007	6.682447e-001	6.682446e-006
2.225255203781319e-007	7.237951e-001	7.237951e-006
2.322911453781319e-007	7.783220e-001	7.783219e-006
2.420567703781319e-007	8.314871e-001	8.314870e-006
2.518223953781319e-007	8.829749e-001	8.829747e-006
2.615880203781319e-007	9.324899e-001	9.324897e-006
2.713536453781320e-007	9.797516e-001	9.797515e-006
2.811192703781320e-007	1.024488e+000	1.024488e-005
2.908848953781320e-007	1.066427e+000	1.066427e-005
3.006505203781320e-007	1.105293e+000	1.105293e-005
3.104161453781321e-007	1.140804e+000	1.140804e-005
3.201817703781321e-007	1.172678e+000	1.172678e-005
3.299473953781321e-007	1.200632e+000	1.200631e-005
3.397130203781321e-007	1.224385e+000	1.224385e-005
3.494786453781322e-007	1.243662e+000	1.243662e-005
3.592442703781322e-007	1.258194e+000	1.258194e-005
3.690098953781322e-007	1.267720e+000	1.267720e-005
3.787755203781323e-007	1.272986e+000	1.272986e-005
3.815436272643773e-007	1.273580e+000	1.273579e-005
3.828314474584775e-007	1.273621e+000	1.273621e-005
3.840028983631409e-007	1.273620e+000	1.273620e-005
3.847227040612988e-007	1.273618e+000	1.273616e-005
3.854657344468324e-007	1.273616e+000	1.273614e-005
3.865164077354353e-007	1.273613e+000	1.273612e-005
3.877473365516053e-007	1.273609e+000	1.273608e-005
3.882456063019766e-007	1.273608e+000	1.273607e-005
3.885047668867806e-007	1.273607e+000	1.273084e-005
3.885054293111109e-007	1.273607e+000	1.273157e-005
3.885067541597716e-007	1.273607e+000	1.273553e-005
3.885094038570930e-007	1.273607e+000	1.273827e-005
3.885134003453853e-007	1.273607e+000	1.273312e-005
3.885177520278730e-007	1.273607e+000	1.273296e-005
3.885225214127779e-007	1.273607e+000	1.273619e-005
