time	V(vpwrout)	I(Pwrout)
Step Information: Sndamp=100n  (Run: 1/9)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.765624452758720e-014	2.403619e-015	2.424632e-020
1.953124890551744e-013	4.818688e-015	4.849264e-020
7.812499562206976e-013	1.943239e-014	1.935470e-019
1.562499912441395e-012	3.933903e-014	3.928821e-019
3.124999824882790e-012	8.170458e-014	8.169633e-019
6.249999649765581e-012	1.848504e-013	1.848932e-018
1.249999929953116e-011	5.297843e-013	5.297909e-018
2.499999859906232e-011	2.283745e-012	2.283714e-017
4.999999719812465e-011	1.172161e-011	1.172184e-016
8.439373492208735e-011	4.266340e-011	4.266462e-016
1.243703664817745e-010	1.143905e-010	1.143925e-015
1.622221165004443e-010	2.328641e-010	2.328654e-015
2.027241561116351e-010	4.380889e-010	4.380932e-015
2.554184503249895e-010	8.534230e-010	8.534331e-015
3.223415971193417e-010	1.669106e-009	1.669141e-014
4.095266949830933e-010	3.315374e-009	3.315469e-014
5.215769699657181e-010	6.597861e-009	6.597948e-014
6.684604006835090e-010	1.327649e-008	1.327652e-013
8.606357836774044e-010	2.685164e-008	2.685185e-013
1.115795659841359e-009	5.488150e-008	5.488307e-013
1.453722804573770e-009	1.126964e-007	1.127053e-012
1.901194729592016e-009	2.320942e-007	2.321100e-012
2.481325882119376e-009	4.677866e-007	4.677910e-012
3.123735094857421e-009	8.372320e-007	8.372341e-012
3.625687824403651e-009	1.229981e-006	1.229996e-011
4.151256486239736e-009	1.763294e-006	1.763314e-011
4.352111964527481e-009	2.036441e-006	2.036460e-011
4.562337462823292e-009	2.407913e-006	2.407913e-011
4.709846788565120e-009	2.724450e-006	2.724432e-011
4.886399842247769e-009	3.170934e-006	3.170909e-011
5.065600650140486e-009	3.702880e-006	3.702866e-011
5.348749734736715e-009	4.731752e-006	4.731764e-011
5.848112465092877e-009	7.121605e-006	7.121612e-011
6.738487658496385e-009	1.292176e-005	1.292174e-010
7.684361691451564e-009	2.129990e-005	2.129991e-010
8.675343206310321e-009	3.270048e-005	3.270050e-010
9.392670556197601e-009	4.292127e-005	4.292123e-010
1.016770266054057e-008	5.619395e-005	5.619386e-010
1.104022757552622e-008	7.396483e-005	7.396476e-010
1.216621617361503e-008	1.011866e-004	1.011866e-009
1.321868726919135e-008	1.315394e-004	1.315394e-009
1.449416536541537e-008	1.758560e-004	1.758561e-009
1.607634217626520e-008	2.457025e-004	2.457025e-009
1.924069579796487e-008	4.246274e-004	4.246276e-009
2.171052032845479e-008	6.000904e-004	6.000906e-009
2.351831931414324e-008	7.565769e-004	7.565769e-009
2.499654977959530e-008	9.051394e-004	9.051396e-009
2.658308357381153e-008	1.085234e-003	1.085235e-008
2.815022987626679e-008	1.286006e-003	1.286008e-008
3.037013061459982e-008	1.605311e-003	1.605312e-008
3.210576769946032e-008	1.884237e-003	1.884238e-008
3.393916269001335e-008	2.211858e-003	2.211859e-008
3.578173788342641e-008	2.573553e-003	2.573555e-008
3.764618733215110e-008	2.972886e-003	2.972888e-008
3.937648064100836e-008	3.381870e-003	3.381869e-008
4.283706725872287e-008	4.297988e-003	4.297986e-008
4.711670268677066e-008	5.588053e-003	5.588053e-008
5.247164419146483e-008	7.450143e-003	7.450146e-008
5.861744217399154e-008	9.914812e-003	9.914815e-008
6.635289804443941e-008	1.347998e-002	1.347998e-007
7.603968346885659e-008	1.854562e-002	1.854562e-007
8.580530846885658e-008	2.425995e-002	2.425995e-007
9.557093346885658e-008	3.057071e-002	3.057059e-007
1.053365584688566e-007	3.746091e-002	3.746060e-007
1.151021834688566e-007	4.493487e-002	4.493457e-007
1.248678084688566e-007	5.300414e-002	5.300394e-007
1.346334334688566e-007	6.164431e-002	6.164418e-007
1.443990584688566e-007	7.072142e-002	7.072135e-007
1.541646834688566e-007	7.998308e-002	7.998306e-007
1.639303084688566e-007	8.915372e-002	8.915371e-007
1.736959334688566e-007	9.801272e-002	9.801267e-007
1.834615584688566e-007	1.063936e-001	1.063935e-006
1.932271834688566e-007	1.141625e-001	1.141624e-006
2.029928084688566e-007	1.212067e-001	1.212065e-006
2.127584334688566e-007	1.274291e-001	1.274290e-006
2.225240584688566e-007	1.327457e-001	1.327456e-006
2.322896834688566e-007	1.370842e-001	1.370841e-006
2.420553084688566e-007	1.403848e-001	1.403848e-006
2.518209334688565e-007	1.426008e-001	1.426008e-006
2.615865584688566e-007	1.438765e-001	1.438765e-006
2.653204996453788e-007	1.440928e-001	1.440929e-006
2.668869791456613e-007	1.441149e-001	1.441149e-006
2.676953322838047e-007	1.441158e-001	1.441157e-006
2.682913942297060e-007	1.441152e-001	1.441152e-006
2.686417782115047e-007	1.441149e-001	1.441146e-006
2.689833485675590e-007	1.441145e-001	1.441139e-006
2.695388423812251e-007	1.441139e-001	1.441133e-006
2.732585288407060e-007	1.441098e-001	1.441098e-006
2.735394160944749e-007	1.441095e-001	1.441095e-006
2.736749936312913e-007	1.441093e-001	1.441097e-006
2.737342429215005e-007	1.441093e-001	1.441094e-006
2.737897773830900e-007	1.441092e-001	1.441091e-006
2.738268365970746e-007	1.441092e-001	1.441070e-006
2.741632074502134e-007	1.441088e-001	1.441102e-006
2.819833299250955e-007	1.440983e-001	1.440984e-006
2.868401195738331e-007	1.440907e-001	1.440909e-006
2.952086985204711e-007	1.440761e-001	1.440762e-006
3.049743235204711e-007	1.440568e-001	1.440568e-006
3.147399485204711e-007	1.440349e-001	1.440349e-006
3.245055735204712e-007	1.440108e-001	1.440108e-006
3.282369975235542e-007	1.440009e-001	1.440009e-006
3.311476606399483e-007	1.439928e-001	1.439928e-006
3.336494758577616e-007	1.439856e-001	1.439856e-006
3.362674045691440e-007	1.439779e-001	1.439779e-006
3.405155573839199e-007	1.439648e-001	1.439648e-006
3.462631896919649e-007	1.439462e-001	1.439462e-006
3.526184580568749e-007	1.439239e-001	1.439239e-006
3.601951629217226e-007	1.438951e-001	1.438951e-006
3.690465084460035e-007	1.438593e-001	1.438593e-006
3.788121334460035e-007	1.438173e-001	1.438173e-006
3.885777584460035e-007	1.437720e-001	1.437719e-006
3.983433834460035e-007	1.437221e-001	1.437221e-006
4.014204342986212e-007	1.437042e-001	1.437036e-006
4.014324540285143e-007	1.437041e-001	1.437015e-006
4.014564934883003e-007	1.437039e-001	1.436973e-006
4.015045724078725e-007	1.437035e-001	1.437034e-006
4.015474935420371e-007	1.437031e-001	1.437082e-006
4.016004657303184e-007	1.437025e-001	1.437053e-006
4.016888729222759e-007	1.437015e-001	1.437014e-006
4.018640925833236e-007	1.436995e-001	1.436997e-006
4.022145319054191e-007	1.436953e-001	1.436952e-006
4.029154105496100e-007	1.436867e-001	1.436866e-006
4.040038243748624e-007	1.436732e-001	1.436731e-006
4.105343073263773e-007	1.435958e-001	1.435958e-006
4.192416179283972e-007	1.434989e-001	1.434989e-006
4.290072429283972e-007	1.433971e-001	1.433971e-006
4.387728679283972e-007	1.433029e-001	1.433029e-006
4.485384929283972e-007	1.432161e-001	1.432161e-006
4.583041179283973e-007	1.431363e-001	1.431363e-006
4.680697429283973e-007	1.430635e-001	1.430635e-006
4.778353679283973e-007	1.429975e-001	1.429975e-006
4.876009929283973e-007	1.429383e-001	1.429384e-006
4.973666179283974e-007	1.428860e-001	1.428861e-006
5.071322429283974e-007	1.428407e-001	1.428407e-006
5.168978679283974e-007	1.428022e-001	1.428022e-006
5.266634929283974e-007	1.427707e-001	1.427707e-006
5.364291179283975e-007	1.427463e-001	1.427463e-006
5.461947429283975e-007	1.427291e-001	1.427291e-006
5.559603679283975e-007	1.427185e-001	1.427184e-006
5.619813006033159e-007	1.427152e-001	1.427151e-006
5.650751020274968e-007	1.427146e-001	1.427146e-006
5.662931630859717e-007	1.427146e-001	1.427145e-006
5.669920918693400e-007	1.427146e-001	1.427145e-006
5.675549838034574e-007	1.427147e-001	1.427145e-006
5.681194251593465e-007	1.427148e-001	1.427147e-006
5.692483078711247e-007	1.427150e-001	1.427149e-006
5.710889305313390e-007	1.427154e-001	1.427155e-006
5.731834880568668e-007	1.427161e-001	1.427161e-006
5.762961387067657e-007	1.427174e-001	1.427174e-006
5.801698772517124e-007	1.427196e-001	1.427196e-006
5.871882062116719e-007	1.427250e-001	1.427250e-006
5.969538312116719e-007	1.427350e-001	1.427350e-006
6.067194562116720e-007	1.427479e-001	1.427480e-006
6.164850812116720e-007	1.427638e-001	1.427639e-006
6.262507062116720e-007	1.427825e-001	1.427826e-006
6.360163312116720e-007	1.428039e-001	1.428039e-006
6.457819562116721e-007	1.428279e-001	1.428279e-006
6.555475812116721e-007	1.428542e-001	1.428542e-006
6.653132062116721e-007	1.428827e-001	1.428827e-006
6.750788312116721e-007	1.429130e-001	1.429129e-006
6.848444562116722e-007	1.429445e-001	1.429445e-006
6.946100812116722e-007	1.429770e-001	1.429770e-006
7.043757062116722e-007	1.430105e-001	1.430105e-006
7.141413312116722e-007	1.430455e-001	1.430455e-006
7.239069562116723e-007	1.430818e-001	1.430818e-006
7.336725812116723e-007	1.431188e-001	1.431188e-006
7.434382062116723e-007	1.431560e-001	1.431560e-006
7.532038312116723e-007	1.431933e-001	1.431933e-006
7.629694562116724e-007	1.432305e-001	1.432305e-006
7.727350812116724e-007	1.432675e-001	1.432674e-006
7.825007062116724e-007	1.433040e-001	1.433039e-006
7.922663312116724e-007	1.433398e-001	1.433398e-006
8.020319562116725e-007	1.433748e-001	1.433747e-006
8.117975812116725e-007	1.434082e-001	1.434082e-006
8.215632062116725e-007	1.434397e-001	1.434397e-006
8.313288312116725e-007	1.434689e-001	1.434689e-006
8.410944562116726e-007	1.434955e-001	1.434955e-006
8.508600812116726e-007	1.435193e-001	1.435193e-006
8.606257062116726e-007	1.435400e-001	1.435400e-006
8.703913312116726e-007	1.435574e-001	1.435574e-006
8.801569562116727e-007	1.435710e-001	1.435710e-006
8.899225812116727e-007	1.435807e-001	1.435807e-006
8.996882062116727e-007	1.435861e-001	1.435861e-006
9.094538312116728e-007	1.435871e-001	1.435871e-006
9.192194562116728e-007	1.435835e-001	1.435834e-006
9.289850812116728e-007	1.435760e-001	1.435759e-006
9.330388442377033e-007	1.435717e-001	1.435716e-006
9.350537273186139e-007	1.435691e-001	1.435604e-006
9.350641556934580e-007	1.435691e-001	1.435614e-006
9.350850124431463e-007	1.435691e-001	1.435634e-006
9.351035929859103e-007	1.435691e-001	1.435610e-006
9.351297231417957e-007	1.435690e-001	1.435633e-006
9.351566778023016e-007	1.435690e-001	1.435681e-006
9.352000324669528e-007	1.435689e-001	1.435651e-006
9.353602241932506e-007	1.435687e-001	1.435675e-006
9.418871513707608e-007	1.435587e-001	1.435586e-006
9.471881735297628e-007	1.435491e-001	1.435491e-006
9.569305221927551e-007	1.435288e-001	1.435289e-006
9.666961471927552e-007	1.435056e-001	1.435056e-006
9.764617721927552e-007	1.434790e-001	1.434790e-006
9.862273971927552e-007	1.434494e-001	1.434494e-006
9.959930221927552e-007	1.434169e-001	1.434169e-006
1.005758647192755e-006	1.433816e-001	1.433816e-006
1.015524272192755e-006	1.433437e-001	1.433437e-006
1.025289897192755e-006	1.433033e-001	1.433033e-006
1.035055522192755e-006	1.432604e-001	1.432604e-006
1.044821147192755e-006	1.432157e-001	1.432157e-006
1.046903838853063e-006	1.432058e-001	1.432058e-006
1.050080278329628e-006	1.431903e-001	1.431904e-006
1.051812974450087e-006	1.431815e-001	1.431817e-006
1.053993417424865e-006	1.431702e-001	1.431703e-006
1.057253954768043e-006	1.431529e-001	1.431530e-006
1.060242732096644e-006	1.431369e-001	1.431369e-006
1.064254210411506e-006	1.431150e-001	1.431151e-006
1.068701322234284e-006	1.430905e-001	1.430905e-006
1.074508762352955e-006	1.430582e-001	1.430582e-006
1.080920213513532e-006	1.430223e-001	1.430223e-006
1.089088317644345e-006	1.429763e-001	1.429763e-006
1.098495734773900e-006	1.429224e-001	1.429224e-006
1.102146690514512e-006	1.428999e-001	1.428998e-006
1.103954449291038e-006	1.428869e-001	1.428876e-006
1.103986310684045e-006	1.428866e-001	1.428877e-006
1.104050033470057e-006	1.428859e-001	1.428875e-006
1.104133747275145e-006	1.428850e-001	1.428860e-006
1.104233154226975e-006	1.428838e-001	1.428846e-006
1.104362006134196e-006	1.428822e-001	1.428828e-006
1.104594337922211e-006	1.428793e-001	1.428797e-006
1.104925876879708e-006	1.428751e-001	1.428759e-006
1.106587435505401e-006	1.428543e-001	1.428545e-006
1.108584396926802e-006	1.428297e-001	1.428299e-006
1.112090018244850e-006	1.427879e-001	1.427879e-006
1.118522479621448e-006	1.427151e-001	1.427151e-006
1.128288104621448e-006	1.426124e-001	1.426124e-006
1.138053729621448e-006	1.425192e-001	1.425192e-006
1.147819354621448e-006	1.424363e-001	1.424363e-006
1.157584979621448e-006	1.423637e-001	1.423637e-006
1.167350604621448e-006	1.423014e-001	1.423014e-006
1.177116229621448e-006	1.422495e-001	1.422495e-006
1.186881854621448e-006	1.422082e-001	1.422082e-006
1.196647479621449e-006	1.421776e-001	1.421776e-006
1.206413104621449e-006	1.421576e-001	1.421576e-006
1.216178729621449e-006	1.421463e-001	1.421462e-006
1.218812815089856e-006	1.421449e-001	1.421449e-006
1.220055023408477e-006	1.421447e-001	1.421447e-006
1.220690019399445e-006	1.421447e-001	1.421446e-006
1.221313095648317e-006	1.421447e-001	1.421446e-006
1.222350548329659e-006	1.421448e-001	1.421448e-006
1.224317041526158e-006	1.421452e-001	1.421452e-006
1.226410466809576e-006	1.421458e-001	1.421458e-006
1.229543036712392e-006	1.421472e-001	1.421472e-006
1.233602742524455e-006	1.421499e-001	1.421499e-006
1.240201460556251e-006	1.421560e-001	1.421560e-006
1.246898870852599e-006	1.421643e-001	1.421644e-006
1.256664495852599e-006	1.421803e-001	1.421803e-006
1.266430120852599e-006	1.422002e-001	1.422002e-006
1.276195745852599e-006	1.422243e-001	1.422242e-006
1.285961370852599e-006	1.422522e-001	1.422522e-006
1.295726995852599e-006	1.422839e-001	1.422839e-006
1.305492620852599e-006	1.423191e-001	1.423191e-006
1.315258245852599e-006	1.423578e-001	1.423578e-006
1.325023870852599e-006	1.423995e-001	1.423995e-006
1.334789495852599e-006	1.424439e-001	1.424439e-006
1.344555120852599e-006	1.424905e-001	1.424905e-006
1.354320745852599e-006	1.425392e-001	1.425392e-006
1.364086370852599e-006	1.425895e-001	1.425895e-006
1.373851995852599e-006	1.426407e-001	1.426407e-006
1.383617620852599e-006	1.426921e-001	1.426921e-006
1.393383245852599e-006	1.427436e-001	1.427436e-006
1.403148870852599e-006	1.427947e-001	1.427947e-006
1.412914495852600e-006	1.428454e-001	1.428454e-006
1.422680120852600e-006	1.428952e-001	1.428952e-006
1.432445745852600e-006	1.429439e-001	1.429439e-006
1.442211370852600e-006	1.429912e-001	1.429912e-006
1.451976995852600e-006	1.430368e-001	1.430368e-006
1.461742620852600e-006	1.430806e-001	1.430806e-006
1.471508245852600e-006	1.431223e-001	1.431223e-006
1.481273870852600e-006	1.431620e-001	1.431620e-006
1.491039495852600e-006	1.431996e-001	1.431996e-006
1.500805120852600e-006	1.432697e-001	1.432697e-006
1.510570745852600e-006	1.434073e-001	1.434094e-006
1.510589819338928e-006	1.434079e-001	1.434094e-006
1.510627966311584e-006	1.434094e-001	1.434102e-006
1.510696048460556e-006	1.434123e-001	1.434142e-006
1.510766877204681e-006	1.434157e-001	1.434169e-006
1.510895589363987e-006	1.434226e-001	1.434215e-006
1.511052997446086e-006	1.434328e-001	1.434319e-006
1.511367813610285e-006	1.434591e-001	1.434592e-006
1.511997445938682e-006	1.435319e-001	1.435321e-006
1.513042846536116e-006	1.437142e-001	1.437140e-006
1.515133647730985e-006	1.442520e-001	1.442519e-006
1.517424497477422e-006	1.451198e-001	1.451197e-006
1.522006196970297e-006	1.475777e-001	1.475778e-006
1.528382557508928e-006	1.520977e-001	1.520979e-006
1.538148182508928e-006	1.604701e-001	1.604701e-006
1.547913807508928e-006	1.695362e-001	1.695362e-006
1.557679432508928e-006	1.783712e-001	1.783712e-006
1.567445057508928e-006	1.860536e-001	1.860536e-006
1.577210682508928e-006	1.918620e-001	1.918620e-006
1.586976307508929e-006	1.956742e-001	1.956743e-006
1.590959333767397e-006	1.965025e-001	1.965027e-006
1.593384837756813e-006	1.966972e-001	1.966972e-006
1.594302629391420e-006	1.967190e-001	1.967191e-006
1.594766882618015e-006	1.967198e-001	1.967201e-006
1.595097021538374e-006	1.967192e-001	1.967196e-006
1.595329676282659e-006	1.967188e-001	1.967193e-006
1.595544739780284e-006	1.967184e-001	1.967190e-006
1.601996644709036e-006	1.967057e-001	1.967057e-006
1.606316217511582e-006	1.966963e-001	1.966964e-006
1.607131787349745e-006	1.966944e-001	1.966944e-006
1.607518663154283e-006	1.966935e-001	1.966015e-006
1.607524625671860e-006	1.966935e-001	1.967419e-006
1.607537886145204e-006	1.966935e-001	1.966953e-006
1.607548175744709e-006	1.966935e-001	1.966934e-006
1.607568754943720e-006	1.966934e-001	1.966895e-006
1.607609913341741e-006	1.966933e-001	1.966914e-006
1.607692230137783e-006	1.966931e-001	1.966949e-006
1.607856863729868e-006	1.966927e-001	1.966931e-006
1.612315230819286e-006	1.966817e-001	1.966817e-006
1.617070822381332e-006	1.966690e-001	1.966690e-006
1.626582005505423e-006	1.966417e-001	1.966417e-006
1.636347630505423e-006	1.966113e-001	1.966113e-006
1.646113255505423e-006	1.965784e-001	1.965784e-006
1.655878880505423e-006	1.965433e-001	1.965433e-006
1.665644505505423e-006	1.965062e-001	1.965063e-006
1.675410130505423e-006	1.964675e-001	1.964675e-006
1.685175755505423e-006	1.964273e-001	1.964273e-006
1.694941380505423e-006	1.963859e-001	1.963859e-006
1.704707005505423e-006	1.963436e-001	1.963437e-006
1.714472630505423e-006	1.963007e-001	1.963007e-006
1.724238255505423e-006	1.962574e-001	1.962574e-006
1.734003880505423e-006	1.962137e-001	1.962138e-006
