time	V(vpwrout)	I(Pwrout)
Step Information: Sndamp=100n  (Run: 1/9)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.906249984391395e-014	9.520737e-016	9.423242e-021
7.812499968782791e-014	1.913196e-015	1.927000e-020
1.562499993756558e-013	3.844728e-015	3.896352e-020
1.999999992008394e-011	4.949119e-013	4.949446e-018
3.409742532932454e-011	8.442143e-013	8.442558e-018
4.972247992928409e-011	1.231984e-012	1.232034e-017
6.642101612704887e-011	1.647546e-012	1.647578e-017
8.234937830063911e-011	2.046033e-012	2.046064e-017
1.034644073454602e-010	2.579384e-012	2.579467e-017
1.282656783664827e-010	3.217600e-012	3.217712e-017
1.608240453967644e-010	4.085292e-012	4.085324e-017
1.998991797366985e-010	5.197278e-012	5.197201e-017
2.500501876907195e-010	6.799821e-012	6.799724e-017
3.111499536697647e-010	9.169346e-012	9.169378e-017
3.886535491690085e-010	1.319756e-011	1.319765e-016
4.839600708030779e-010	2.059549e-011	2.059558e-016
6.040144768942310e-010	3.586675e-011	3.586704e-016
7.524790164335097e-010	6.903692e-011	6.903783e-016
9.387516279363470e-010	1.418519e-010	1.418587e-015
1.128754563762569e-009	2.658686e-010	2.658803e-015
1.308224943748961e-009	4.511520e-010	4.511577e-015
1.488081534214139e-009	7.420163e-010	7.420181e-015
1.736582130773853e-009	1.361167e-009	1.361172e-014
2.003064730250269e-009	2.400868e-009	2.400877e-014
2.338162822602650e-009	4.452355e-009	4.452377e-014
2.706042335917102e-009	8.000996e-009	8.001028e-014
3.152091617590138e-009	1.476564e-008	1.476571e-013
3.652139412655162e-009	2.670488e-008	2.670509e-013
4.248335367147712e-009	4.907687e-008	4.907744e-013
4.926112853217810e-009	8.830646e-008	8.830784e-013
5.633411174369065e-009	1.490481e-007	1.490496e-012
6.285805699400203e-009	2.283787e-007	2.283804e-012
6.895814671167968e-009	3.286243e-007	3.286287e-012
7.480924323036528e-009	4.535920e-007	4.535982e-012
8.058037843457898e-009	6.093852e-007	6.093917e-012
8.626509294435031e-009	7.943077e-007	7.943126e-012
8.918876973734422e-009	9.043201e-007	9.043229e-012
9.154887437628521e-009	1.003511e-006	1.003512e-011
9.397459741009270e-009	1.114619e-006	1.114618e-011
9.702212690067351e-009	1.265911e-006	1.265909e-011
9.953378498877246e-009	1.399795e-006	1.399802e-011
1.007237232697901e-008	1.467390e-006	1.467402e-011
1.017398833034536e-008	1.528332e-006	1.528343e-011
1.028132895380195e-008	1.596116e-006	1.596125e-011
1.040668905647939e-008	1.680072e-006	1.680082e-011
1.054569396037481e-008	1.779499e-006	1.779506e-011
1.072762508850510e-008	1.918528e-006	1.918534e-011
1.094323146846624e-008	2.093549e-006	2.093554e-011
1.116162665567788e-008	2.282535e-006	2.282539e-011
1.149592591928504e-008	2.596516e-006	2.596515e-011
1.204373735074582e-008	3.172912e-006	3.172902e-011
1.281085595004605e-008	4.087510e-006	4.087505e-011
1.329786690186125e-008	4.756899e-006	4.756898e-011
1.397406354875433e-008	5.834081e-006	5.834082e-011
1.470791265445922e-008	7.210946e-006	7.210946e-011
1.580912131515709e-008	9.688860e-006	9.688854e-011
1.684520273582573e-008	1.249781e-005	1.249779e-010
1.784379112821459e-008	1.574936e-005	1.574934e-010
1.879340643008497e-008	1.946431e-005	1.946429e-010
2.010143172385301e-008	2.579943e-005	2.579940e-010
2.208812024555492e-008	3.901720e-005	3.901719e-010
2.599437024555492e-008	7.664267e-005	7.664271e-010
2.978398905377869e-008	1.307516e-004	1.307517e-009
3.369023905377869e-008	2.124684e-004	2.124684e-009
3.759648905377869e-008	3.271975e-004	3.271976e-009
4.150273905377870e-008	4.830592e-004	4.830594e-009
4.540898905377870e-008	6.888236e-004	6.888238e-009
4.931523905377870e-008	9.499364e-004	9.499367e-009
5.234970311240729e-008	1.195176e-003	1.195176e-008
5.426664502766087e-008	1.375304e-003	1.375305e-008
5.614236834974185e-008	1.573508e-003	1.573508e-008
5.799313250058741e-008	1.790951e-003	1.790952e-008
6.037925411662366e-008	2.101229e-003	2.101229e-008
6.226926439350608e-008	2.372695e-003	2.372695e-008
6.426818932478121e-008	2.689557e-003	2.689557e-008
6.637024443534687e-008	3.053048e-003	3.053048e-008
6.802112881639702e-008	3.364106e-003	3.364106e-008
7.004264332902386e-008	3.779706e-003	3.779707e-008
7.241764188270079e-008	4.321452e-003	4.321454e-008
7.632389188270079e-008	5.327423e-003	5.327423e-008
8.023014188270080e-008	6.475821e-003	6.475820e-008
8.413639188270080e-008	7.793362e-003	7.793360e-008
8.804264188270080e-008	9.292837e-003	9.292836e-008
9.194889188270080e-008	1.098651e-002	1.098651e-007
9.585514188270081e-008	1.288592e-002	1.288592e-007
9.976139188270081e-008	1.500172e-002	1.500172e-007
1.036676418827008e-007	1.734346e-002	1.734346e-007
1.075738918827008e-007	1.991954e-002	1.991953e-007
1.114801418827008e-007	2.273700e-002	2.273699e-007
1.153863918827008e-007	2.580150e-002	2.580149e-007
1.192926418827008e-007	2.911728e-002	2.911726e-007
1.231988918827008e-007	3.268709e-002	3.268708e-007
1.271051418827008e-007	3.651229e-002	3.651228e-007
1.310113918827008e-007	4.059282e-002	4.059282e-007
1.349176418827008e-007	4.492716e-002	4.492717e-007
1.388238918827008e-007	4.951214e-002	4.951215e-007
1.427301418827008e-007	5.434255e-002	5.434254e-007
1.466363918827007e-007	5.941089e-002	5.941088e-007
1.505426418827007e-007	6.470738e-002	6.470740e-007
1.583551418827007e-007	7.593480e-002	7.593480e-007
1.661676418827007e-007	8.790488e-002	8.790486e-007
1.739801418827007e-007	1.004691e-001	1.004692e-006
1.817926418827006e-007	1.134552e-001	1.134552e-006
1.856988918827006e-007	1.200470e-001	1.200470e-006
1.896051418827006e-007	1.266711e-001	1.266711e-006
1.935113918827006e-007	1.333012e-001	1.333011e-006
1.974176418827006e-007	1.399103e-001	1.399102e-006
2.013238918827006e-007	1.464709e-001	1.464709e-006
2.052301418827006e-007	1.529554e-001	1.529555e-006
2.091363918827006e-007	1.593356e-001	1.593357e-006
2.130426418827006e-007	1.655833e-001	1.655833e-006
2.169488918827006e-007	1.716703e-001	1.716703e-006
2.208551418827005e-007	1.775685e-001	1.775685e-006
2.247613918827005e-007	1.832501e-001	1.832501e-006
2.286676418827005e-007	1.886877e-001	1.886876e-006
2.325738918827005e-007	1.938542e-001	1.938541e-006
2.364801418827005e-007	1.987233e-001	1.987232e-006
2.403863918827005e-007	2.032694e-001	2.032693e-006
2.442926418827005e-007	2.074676e-001	2.074676e-006
2.481988918827005e-007	2.112942e-001	2.112942e-006
2.521051418827005e-007	2.147262e-001	2.147262e-006
2.560113918827004e-007	2.177420e-001	2.177419e-006
2.599176418827004e-007	2.203211e-001	2.203211e-006
2.638238918827004e-007	2.224445e-001	2.224445e-006
2.677301418827004e-007	2.240946e-001	2.240946e-006
2.716363918827004e-007	2.252553e-001	2.252553e-006
2.755426418827004e-007	2.259926e-001	2.259927e-006
2.770274842486009e-007	2.261457e-001	2.261457e-006
2.779747620377667e-007	2.261882e-001	2.261881e-006
2.785208597288208e-007	2.261979e-001	2.261979e-006
2.787779157602027e-007	2.261987e-001	2.261997e-006
2.789287783500185e-007	2.261982e-001	2.261990e-006
2.790920351852744e-007	2.261972e-001	2.261965e-006
2.792825228980248e-007	2.261955e-001	2.261944e-006
2.796634983235256e-007	2.261903e-001	2.261902e-006
2.804254491745272e-007	2.261764e-001	2.261765e-006
2.806292574134902e-007	2.261719e-001	2.261485e-006
2.806301507564553e-007	2.261719e-001	2.261717e-006
2.806353011275876e-007	2.261718e-001	2.261251e-006
2.806373767427233e-007	2.261717e-001	2.260810e-006
2.806396819485137e-007	2.261717e-001	2.260770e-006
2.806531401527590e-007	2.261713e-001	2.261756e-006
2.810049466671700e-007	2.261615e-001	2.261596e-006
2.813681017788201e-007	2.261498e-001	2.261486e-006
2.820944120021203e-007	2.261231e-001	2.261231e-006
2.833414504487017e-007	2.260709e-001	2.260709e-006
2.849743052251932e-007	2.259973e-001	2.259972e-006
2.861904914561357e-007	2.259429e-001	2.259430e-006
2.871778834201750e-007	2.259029e-001	2.259031e-006
2.882115116893616e-007	2.258682e-001	2.258683e-006
2.891843734893612e-007	2.258440e-001	2.258439e-006
2.900945767027479e-007	2.258288e-001	2.258286e-006
2.903867008414228e-007	2.258258e-001	2.258247e-006
2.905136427122313e-007	2.258251e-001	2.258231e-006
2.906322164352228e-007	2.258246e-001	2.258243e-006
2.907656472084927e-007	2.258242e-001	2.258254e-006
2.908813101287016e-007	2.258241e-001	2.258254e-006
2.909316150534408e-007	2.258241e-001	2.258305e-006
2.909670755641418e-007	2.258241e-001	2.258341e-006
2.910044906520633e-007	2.258241e-001	2.258300e-006
2.910469978347523e-007	2.258242e-001	2.258249e-006
2.912939899532339e-007	2.258250e-001	2.258222e-006
2.916179454594410e-007	2.258275e-001	2.258267e-006
2.922658564718552e-007	2.258361e-001	2.258363e-006
2.932546854979065e-007	2.258570e-001	2.258572e-006
2.944591415572421e-007	2.258928e-001	2.258928e-006
2.956950682895826e-007	2.259384e-001	2.259384e-006
2.968595056794983e-007	2.259862e-001	2.259861e-006
2.980945930071199e-007	2.260371e-001	2.260370e-006
2.992886930001347e-007	2.260815e-001	2.260815e-006
3.005802917754013e-007	2.261193e-001	2.261195e-006
3.017489099015204e-007	2.261413e-001	2.261416e-006
3.026772279095334e-007	2.261476e-001	2.261479e-006
3.036812450903652e-007	2.261420e-001	2.261421e-006
3.046937154164453e-007	2.261244e-001	2.261244e-006
3.058003744682712e-007	2.260949e-001	2.260951e-006
3.062159832830167e-007	2.260811e-001	2.260813e-006
3.064408819888643e-007	2.260729e-001	2.260731e-006
3.065409531823692e-007	2.260690e-001	2.260698e-006
3.068680092313294e-007	2.260559e-001	2.260556e-006
3.073611072603002e-007	2.260351e-001	2.260365e-006
3.078770242321107e-007	2.260123e-001	2.260130e-006
3.085865684364727e-007	2.259802e-001	2.259805e-006
3.090708648413130e-007	2.259580e-001	2.259594e-006
3.091573133874786e-007	2.259540e-001	2.259501e-006
3.091906771916599e-007	2.259524e-001	2.260165e-006
3.095051379689737e-007	2.259377e-001	2.259352e-006
3.098014191969833e-007	2.259241e-001	2.259246e-006
3.103939816530025e-007	2.258981e-001	2.258991e-006
3.113986595992938e-007	2.258581e-001	2.258584e-006
3.124109011244237e-007	2.258253e-001	2.258255e-006
3.137766859129958e-007	2.257926e-001	2.257930e-006
3.142293418685729e-007	2.257854e-001	2.257856e-006
3.144360801698142e-007	2.257833e-001	2.257840e-006
3.145847581762144e-007	2.257821e-001	2.257780e-006
3.147374503739047e-007	2.257813e-001	2.257832e-006
3.149942011157014e-007	2.257806e-001	2.257829e-006
3.150576225376323e-007	2.257805e-001	2.257846e-006
3.151474926421516e-007	2.257805e-001	2.257760e-006
3.151793512629621e-007	2.257805e-001	2.257730e-006
3.152780146694884e-007	2.257806e-001	2.257817e-006
3.153898446596059e-007	2.257810e-001	2.257814e-006
3.156135046398407e-007	2.257822e-001	2.257817e-006
3.160608246003104e-007	2.257866e-001	2.257863e-006
3.169554645212498e-007	2.258016e-001	2.258016e-006
3.179954707821707e-007	2.258275e-001	2.258274e-006
3.192075360391713e-007	2.258672e-001	2.258673e-006
3.202997570904161e-007	2.259090e-001	2.259090e-006
3.214142981565354e-007	2.259541e-001	2.259542e-006
3.226696496965324e-007	2.260032e-001	2.260033e-006
3.237510030150419e-007	2.260401e-001	2.260400e-006
3.248509742172918e-007	2.260687e-001	2.260685e-006
3.259450752351564e-007	2.260868e-001	2.260868e-006
3.267213336035360e-007	2.260913e-001	2.260916e-006
3.276822714213959e-007	2.260863e-001	2.260866e-006
3.286520894504519e-007	2.260707e-001	2.260707e-006
3.298375137876504e-007	2.260404e-001	2.260402e-006
3.303860525648577e-007	2.260225e-001	2.260228e-006
3.306777337773651e-007	2.260118e-001	2.260121e-006
3.308160718748307e-007	2.260064e-001	2.260061e-006
3.309832977599666e-007	2.259997e-001	2.259984e-006
3.314043381827019e-007	2.259821e-001	2.259807e-006
3.318472351282423e-007	2.259628e-001	2.259618e-006
3.325309158786747e-007	2.259320e-001	2.259322e-006
3.328572668677141e-007	2.259171e-001	2.259178e-006
3.332325710717170e-007	2.258998e-001	2.259039e-006
3.332605720899330e-007	2.258985e-001	2.261981e-006
3.332613373488159e-007	2.258985e-001	2.259368e-006
3.334058628630782e-007	2.258917e-001	2.258952e-006
3.335285845221599e-007	2.258859e-001	2.258865e-006
3.337740278403232e-007	2.258745e-001	2.258748e-006
3.342649144766500e-007	2.258525e-001	2.258524e-006
3.352466877493034e-007	2.258122e-001	2.258121e-006
3.365769388913687e-007	2.257682e-001	2.257683e-006
3.381690043398410e-007	2.257320e-001	2.257320e-006
3.388750617085486e-007	2.257229e-001	2.257231e-006
3.391005260554856e-007	2.257216e-001	2.257249e-006
3.391646346419980e-007	2.257214e-001	2.257241e-006
3.391867136043861e-007	2.257214e-001	2.257208e-006
3.392116063902534e-007	2.257214e-001	2.257209e-006
3.392318367425975e-007	2.257214e-001	2.257235e-006
3.392536137287638e-007	2.257213e-001	2.257183e-006
3.392806186368970e-007	2.257213e-001	2.257118e-006
3.393175808268449e-007	2.257213e-001	2.257174e-006
3.393583400320031e-007	2.257213e-001	2.257221e-006
3.394013185004470e-007	2.257214e-001	2.257191e-006
3.394461482342524e-007	2.257214e-001	2.257196e-006
3.397151266370845e-007	2.257225e-001	2.257237e-006
3.400737645075274e-007	2.257254e-001	2.257259e-006
3.407910402484132e-007	2.257356e-001	2.257356e-006
3.417857228896708e-007	2.257575e-001	2.257574e-006
3.430447621751591e-007	2.257957e-001	2.257957e-006
3.444570097846441e-007	2.258472e-001	2.258472e-006
3.454935853794484e-007	2.258878e-001	2.258878e-006
3.465621285784964e-007	2.259291e-001	2.259290e-006
3.475461826243811e-007	2.259622e-001	2.259623e-006
3.489851695109804e-007	2.259986e-001	2.259988e-006
3.503184002901289e-007	2.260185e-001	2.260186e-006
3.511468392034641e-007	2.260209e-001	2.260209e-006
3.520844770320051e-007	2.260127e-001	2.260126e-006
3.532060974258848e-007	2.259909e-001	2.259909e-006
3.542778466273846e-007	2.259608e-001	2.259605e-006
3.547047466480951e-007	2.259462e-001	2.259456e-006
3.549324936415404e-007	2.259375e-001	2.259362e-006
3.550402736223801e-007	2.259333e-001	2.259318e-006
3.553904794336223e-007	2.259190e-001	2.259194e-006
3.556454564216403e-007	2.259082e-001	2.259083e-006
3.559411782243194e-007	2.258953e-001	2.258959e-006
3.565326218296775e-007	2.258687e-001	2.258691e-006
3.570401036864609e-007	2.258455e-001	2.258451e-006
3.572576599059646e-007	2.258354e-001	2.258354e-006
3.573260940145071e-007	2.258321e-001	2.258768e-006
3.577679611892781e-007	2.258112e-001	2.258120e-006
3.582107700862120e-007	2.257908e-001	2.257911e-006
3.590963878800801e-007	2.257535e-001	2.257533e-006
3.608449714710239e-007	2.256919e-001	2.256917e-006
3.620462923756330e-007	2.256602e-001	2.256603e-006
3.625004056687336e-007	2.256522e-001	2.256515e-006
3.626763975695189e-007	2.256501e-001	2.256488e-006
3.631803299437096e-007	2.256465e-001	2.256460e-006
3.634061513443665e-007	2.256458e-001	2.256467e-006
3.634978127474876e-007	2.256456e-001	2.256475e-006
3.635618973055045e-007	2.256456e-001	2.256478e-006
3.636002051705135e-007	2.256456e-001	2.256478e-006
3.636386666596339e-007	2.256457e-001	2.256478e-006
3.638694355943568e-007	2.256464e-001	2.256478e-006
3.641771275073207e-007	2.256486e-001	2.256490e-006
3.647925113332484e-007	2.256564e-001	2.256565e-006
3.657630838325201e-007	2.256761e-001	2.256761e-006
3.669681327187729e-007	2.257105e-001	2.257104e-006
3.683950242366780e-007	2.257607e-001	2.257606e-006
3.697502328692290e-007	2.258125e-001	2.258125e-006
3.707435497000304e-007	2.258499e-001	2.258502e-006
3.716677060656736e-007	2.258812e-001	2.258816e-006
3.725997529554365e-007	2.259074e-001	2.259074e-006
3.735272088917496e-007	2.259256e-001	2.259254e-006
3.747375727680464e-007	2.259374e-001	2.259372e-006
3.756705891747872e-007	2.259366e-001	2.259366e-006
3.765857708734089e-007	2.259249e-001	2.259250e-006
3.778969416471709e-007	2.258951e-001	2.258951e-006
3.786657618336748e-007	2.258716e-001	2.258718e-006
3.789957665724363e-007	2.258597e-001	2.258601e-006
3.791439108750808e-007	2.258540e-001	2.258550e-006
3.794042954284016e-007	2.258436e-001	2.258444e-006
3.798404996817399e-007	2.258251e-001	2.258256e-006
3.801478805875930e-007	2.258116e-001	2.258110e-006
3.807626423992990e-007	2.257837e-001	2.257833e-006
3.812325546748111e-007	2.257619e-001	2.257608e-006
3.813189889232039e-007	2.257578e-001	2.257554e-006
3.813594330862657e-007	2.257559e-001	2.257526e-006
3.813613379529488e-007	2.257558e-001	2.256668e-006
3.817403710705564e-007	2.257375e-001	2.257380e-006
3.820697159389735e-007	2.257218e-001	2.257213e-006
3.827284056758078e-007	2.256914e-001	2.256907e-006
3.840457851494763e-007	2.256349e-001	2.256348e-006
3.849100638027070e-007	2.256016e-001	2.256014e-006
3.853161529595044e-007	2.255872e-001	2.255860e-006
3.854283765344055e-007	2.255829e-001	2.255738e-006
3.854303514344860e-007	2.255829e-001	2.255557e-006
3.854343012346469e-007	2.255827e-001	2.255198e-006
3.854383064475616e-007	2.255825e-001	2.255198e-006
3.854477766864010e-007	2.255821e-001	2.255985e-006
3.857664458275808e-007	2.255694e-001	2.255684e-006
3.860658513414732e-007	2.255588e-001	2.255602e-006
3.862090758969393e-007	2.255542e-001	2.255558e-006
3.863581874932022e-007	2.255498e-001	2.255513e-006
3.869850384839756e-007	2.255362e-001	2.255367e-006
3.873741652015910e-007	2.255314e-001	2.255319e-006
3.879057286676963e-007	2.255278e-001	2.255271e-006
3.880215630625024e-007	2.255276e-001	2.255260e-006
3.881050240715804e-007	2.255277e-001	2.255271e-006
